T/s,ref/rad,theta 1/rad,theta 2/rad
0.0556,0,-0.000390719,-0.00016046
0.0557,0,-0.000393981,-0.000156049
0.0558,0,-0.000398337,-0.000150381
0.0559,0,-0.000403374,-0.000143929
0.056,0,-0.000408584,-0.000137276
0.0561,0,-0.000413439,-0.000131029
0.0562,0,-0.000417463,-0.000125738
0.0563,0,-0.000420283,-0.00012183
0.0564,0,-0.000421682,-0.000119559
0.0565,0,-0.000421638,-0.000118954
0.0566,0,-0.000420335,-0.000119805
0.0567,0,-0.00041814,-0.000121692
0.0568,0,-0.000415544,-0.000124053
0.0569,0,-0.000413079,-0.000126278
0.057,0,-0.000411246,-0.000127789
0.0571,0,-0.000410455,-0.000128115
0.0572,0,-0.00041097,-0.000126949
0.0573,0,-0.000412863,-0.000124206
0.0574,0,-0.000415995,-0.000120043
0.0575,0,-0.000420033,-0.000114841
0.0576,0,-0.0004245,-0.000109147
0.0577,0,-0.00042886,-0.000103575
0.0578,0,-0.000432595,-9.87E-05
0.0579,0,-0.000435272,-9.51E-05
0.058,0,-0.000436593,-9.30E-05
0.0581,0,-0.000436446,-9.26E-05
0.0582,0,-0.000434928,-9.38E-05
0.0583,0,-0.000432337,-9.62E-05
0.0584,0,-0.000429125,-9.94E-05
0.0585,0,-0.000425818,-0.000102672
0.0586,0,-0.000422938,-0.000105465
0.0587,0,-0.000420943,-0.000107251
0.0588,0,-0.000420167,-0.000107641
0.0589,0,-0.00042078,-0.000106439
0.059,0,-0.000422749,-0.00010368
0.0591,0,-0.000425833,-9.96E-05
0.0592,0,-0.000429625,-9.48E-05
0.0593,0,-0.000433619,-8.97E-05
0.0594,0,-0.000437289,-8.50E-05
0.0595,0,-0.00044016,-8.11E-05
0.0596,0,-0.000441861,-7.87E-05
0.0597,0,-0.000442177,-7.78E-05
0.0598,0,-0.000441083,-7.85E-05
0.0599,0,-0.000438761,-8.07E-05
0.06,0,-0.000435579,-8.38E-05
0.0601,0,-0.000432023,-8.74E-05
0.0602,0,-0.00042862,-9.08E-05
0.0603,0,-0.000425866,-9.35E-05
0.0604,0,-0.000424169,-9.49E-05
0.0605,0,-0.000423787,-9.49E-05
0.0606,0,-0.000424789,-9.32E-05
0.0607,0,-0.000427038,-9.02E-05
0.0608,0,-0.000430196,-8.60E-05
0.0609,0,-0.000433791,-8.14E-05
0.061,0,-0.000437288,-7.68E-05
0.0611,0,-0.000440172,-7.30E-05
0.0612,0,-0.000442012,-7.03E-05
0.0613,0,-0.000442515,-6.92E-05
0.0614,0,-0.00044157,-6.97E-05
0.0615,0,-0.000439275,-7.18E-05
0.0616,0,-0.000435929,-7.51E-05
0.0617,0,-0.000431985,-7.90E-05
0.0618,0,-0.000427965,-8.31E-05
0.0619,0,-0.000424393,-8.66E-05
0.062,0,-0.00042172,-8.91E-05
0.0621,0,-0.000420281,-9.02E-05
0.0622,0,-0.000420242,-8.97E-05
0.0623,0,-0.000421567,-8.76E-05
0.0624,0,-0.000424015,-8.41E-05
0.0625,0,-0.000427174,-7.99E-05
0.0626,0,-0.000430539,-7.54E-05
0.0627,0,-0.000433584,-7.13E-05
0.0628,0,-0.000435834,-6.80E-05
0.0629,0,-0.000436919,-6.61E-05
0.063,0,-0.000436624,-6.57E-05
0.0631,0,-0.000434927,-6.70E-05
0.0632,0,-0.00043201,-6.96E-05
0.0633,0,-0.000428241,-7.32E-05
0.0634,0,-0.000424106,-7.73E-05
0.0635,0,-0.000420129,-8.11E-05
0.0636,0,-0.000416807,-8.42E-05
0.0637,0,-0.000414544,-8.61E-05
0.0638,0,-0.000413599,-8.64E-05
0.0639,0,-0.00041404,-8.52E-05
0.064,0,-0.000415728,-8.24E-05
0.0641,0,-0.000418328,-7.87E-05
0.0642,0,-0.000421369,-7.44E-05
0.0643,0,-0.000424321,-7.01E-05
0.0644,0,-0.000426673,-6.66E-05
0.0645,0,-0.000427996,-6.42E-05
0.0646,0,-0.000428,-6.33E-05
0.0647,0,-0.000426576,-6.40E-05
0.0648,0,-0.000423821,-6.62E-05
0.0649,0,-0.000420032,-6.97E-05
0.065,0,-0.000415657,-7.37E-05
0.0651,0,-0.000411216,-7.79E-05
0.0652,0,-0.000407227,-8.15E-05
0.0653,0,-0.000404139,-8.40E-05
