T/s,theta 1 velocity/rad/s, theta 2  velocity/rad/s
0.0545,0.238166946,0.199658401
0.0546,0.223137081,0.215078965
0.0547,0.207962152,0.230624067
0.0548,0.194655201,0.243994629
0.0549,0.184905096,0.2532626
0.055,0.179897099,0.257075942
0.0551,0.180208801,0.254777121
0.0552,0.185681535,0.246548549
0.0553,0.195441161,0.233389217
0.0554,0.207974532,0.21702889
0.0555,0.221415044,0.199601782
0.0556,0.23374512,0.183414054
0.0557,0.243147867,0.170542845
0.0558,0.248212887,0.162601115
0.0559,0.248104974,0.160544817
0.056,0.242739042,0.164471719
0.0561,0.232778862,0.173623303
0.0562,0.219561739,0.186472503
0.0563,0.204831535,0.201028588
0.0564,0.190537513,0.21506608
0.0565,0.178562445,0.226435292
0.0566,0.17041535,0.233414081
0.0567,0.167073828,0.234887937
0.0568,0.168812473,0.230544536
0.0569,0.175182506,0.22089706
0.057,0.185028552,0.207266473
0.0571,0.196719986,0.191517395
0.0572,0.208429958,0.175739073
0.0573,0.218342204,0.162008417
0.0574,0.224961077,0.152036679
0.0575,0.227232618,0.147030753
0.0576,0.224740665,0.147467637
0.0577,0.217776587,0.153015125
0.0578,0.207266172,0.162616122
0.0579,0.194635803,0.174642478
0.058,0.181550235,0.187194299
0.0581,0.169747462,0.198287769
0.0582,0.160685022,0.206260329
0.0583,0.155418485,0.209909232
0.0584,0.154445308,0.208668106
0.0585,0.157610747,0.202714728
0.0586,0.164152923,0.192920279
0.0587,0.17280649,0.180731805
0.0588,0.182051969,0.167887113
0.0589,0.190277167,0.156229462
0.059,0.196123476,0.147313366
0.0591,0.19865541,0.142211222
0.0592,0.197439998,0.141422148
0.0593,0.19266292,0.144737741
0.0594,0.185107466,0.151266569
0.0595,0.17593864,0.159680885
0.0596,0.166500521,0.168448186
0.0597,0.158125924,0.176048712
0.0598,0.152025271,0.18110197
0.0599,0.148995634,0.182700596
0.06,0.149237502,0.180618584
0.0601,0.152402512,0.175256138
0.0602,0.157650929,0.167574737
0.0603,0.163856373,0.158863227
0.0604,0.169793432,0.15052348
0.0605,0.174324952,0.143856643
0.0606,0.176586356,0.139853134
0.0607,0.176092063,0.139071371
0.0608,0.172859857,0.14149414
0.0609,0.167435322,0.146500975
0.061,0.160724782,0.153058882
0.0611,0.153815051,0.159928377
0.0612,0.147806339,0.165854459
0.0613,0.143614335,0.169793285
0.0614,0.141812491,0.171092682
0.0615,0.142492566,0.169650015
0.0616,0.145240087,0.16594055
0.0617,0.149302199,0.160825749
0.0618,0.153746337,0.155372081
0.0619,0.157609449,0.150680605
0.062,0.16013929,0.147612639
0.0621,0.160887667,0.146683508
0.0622,0.159843331,0.147909238
0.0623,0.157388233,0.150855943
0.0624,0.154176216,0.154778435
0.0625,0.1509928,0.158780596
0.0626,0.14862834,0.161960423
0.0627,0.147644238,0.163678396
0.0628,0.148282758,0.163660571
0.0629,0.150375198,0.162101915
0.063,0.153426175,0.159569623
0.0631,0.156757846,0.156838641
0.0632,0.159638212,0.154745256
0.0633,0.161504386,0.153933457
0.0634,0.162042467,0.154764016
0.0635,0.161199372,0.157300584
0.0636,0.159271968,0.161206324
0.0637,0.15683494,0.165825964
0.0638,0.154602237,0.170344343
0.0639,0.153278667,0.173956358
0.064,0.153329271,0.176131814
0.0641,0.154821366,0.176794719
0.0642,0.15747347,0.176266748
0.0643,0.160763959,0.175143155
0.0644,0.164054385,0.174152089
0.0645,0.166760685,0.173959855
0.0646,0.168510994,0.174991662
0.0647,0.169155975,0.17741963
0.0648,0.168741339,0.181193761
0.0649,0.167597048,0.185938573
0.065,0.166281264,0.19101675
0.0651,0.165460717,0.195665991
0.0652,0.165664403,0.199281818
0.0653,0.16719088,0.201523935
0.0654,0.170040218,0.202393007
0.0655,0.173896985,0.202249037
0.0656,0.178226795,0.201701065
0.0657,0.182399322,0.201466945
0.0658,0.185907062,0.20212494
0.0659,0.188445244,0.204022818
0.066,0.189914592,0.207274479
0.0661,0.190438423,0.21173969
0.0662,0.190420047,0.216957282
0.0663,0.190454556,0.222245841
0.0664,0.191167538,0.226888572
0.0665,0.192986636,0.230395687
0.0666,0.196171565,0.232469573
0.0667,0.200731671,0.233099522
0.0668,0.206372319,0.232621408
0.0669,0.212549404,0.231654907
0.067,0.218603086,0.230951047
0.0671,0.223928493,0.231198081
0.0672,0.228087177,0.232894672
0.0673,0.230827471,0.236326439
0.0674,0.23208985,0.241559685
0.0675,0.232073039,0.248366376
0.0676,0.231291524,0.256156915
0.0677,0.230481548,0.264087284
0.0678,0.230393595,0.271296923
0.0679,0.231628157,0.277097034
0.068,0.234576105,0.281038731
0.0681,0.239395573,0.28293921
0.0682,0.245906437,0.283000897
0.0683,0.253632892,0.281762553
0.0684,0.261860699,0.280035099
0.0685,0.269843099,0.278667066
0.0686,0.276940516,0.27838539
0.0687,0.282671197,0.279737257
0.0688,0.286747153,0.283048842
0.0689,0.289086863,0.288410663
0.069,0.289805639,0.295688493
0.0691,0.289193569,0.304548426
0.0692,0.28792444,0.314217134
0.0693,0.286835551,0.3237339
0.0694,0.286708577,0.332201819
0.0695,0.288233337,0.338828678
0.0696,0.291971053,0.342968511
0.0697,0.298268621,0.344219779
0.0698,0.307197336,0.342495711
0.0699,0.318494269,0.338091942
0.07,0.331444507,0.331821305
0.0701,0.345028835,0.324844259
0.0702,0.358057669,0.318515189
0.0703,0.369356212,0.314170891
0.0704,0.377932115,0.312939231
0.0705,0.383116116,0.315578418
0.0706,0.384755648,0.322254727
0.0707,0.383199676,0.332559868
0.0708,0.379198431,0.34562629
0.0709,0.373828806,0.360213315
0.071,0.368350483,0.374873504
0.0711,0.364056898,0.388121879
0.0712,0.362110481,0.398623747
0.0713,0.363396743,0.405361257
0.0714,0.368430924,0.407739957
0.0715,0.377318148,0.405634256
0.0716,0.389764675,0.399374501
0.0717,0.405012674,0.389821238
0.0718,0.42180989,0.378400615
0.0719,0.438597178,0.366889365
0.072,0.453760788,0.357126419
0.0721,0.465862818,0.350749675
0.0722,0.473816207,0.348996116
0.0723,0.476996657,0.352573981
0.0724,0.475288538,0.361610334
0.0725,0.469068059,0.37567033
0.0726,0.459132465,0.393838121
0.0727,0.446795809,0.41460794
0.0728,0.43375721,0.436034561
0.0729,0.421878168,0.455987294
0.073,0.412895367,0.472478154
0.0731,0.408199449,0.483914634
0.0732,0.408683013,0.48927338
0.0733,0.41466391,0.488187836
0.0734,0.425882333,0.480951572
0.0735,0.441559517,0.468451166
0.0736,0.460300012,0.452276537
0.0737,0.480233034,0.434561246
0.0738,0.499286247,0.417669296
0.0739,0.515491299,0.403846029
0.074,0.52722847,0.394938587
0.0741,0.533400319,0.392197504
0.0742,0.533526169,0.396168745
0.0743,0.527757268,0.406676382
0.0744,0.516819831,0.422887668
0.0745,0.501918034,0.4434241
0.0746,0.484819103,0.466264389
0.0747,0.467639579,0.488988505
0.0748,0.452520061,0.509149051
0.0749,0.441335569,0.524602203
0.075,0.435477549,0.533756781
0.0751,0.435717774,0.535729757
0.0752,0.442157593,0.530404235
0.0753,0.454257865,0.518395252
0.0754,0.470937719,0.500936937
0.0755,0.490497872,0.479970147
0.0756,0.510805259,0.457931401
