T/s,ref/rad,theta 1/rad,theta 2/rad
0.0599,0,-0.007113717,-0.007159509
0.06,0,-0.007131678,-0.007174221
0.0601,0,-0.007149461,-0.007189314
0.0602,0,-0.007166819,-0.007205064
0.0603,0,-0.007183603,-0.007221636
0.0604,0,-0.007199779,-0.00723906
0.0605,0,-0.007215436,-0.00725723
0.0606,0,-0.007230758,-0.007275928
0.0607,0,-0.007245998,-0.007294857
0.0608,0,-0.007261432,-0.007313696
0.0609,0,-0.007277303,-0.007332158
0.061,0,-0.007293784,-0.007350038
0.0611,0,-0.007310947,-0.007367246
0.0612,0,-0.007328753,-0.007383816
0.0613,0,-0.007347066,-0.007399898
0.0614,0,-0.007365672,-0.007415724
0.0615,0,-0.007384328,-0.007431563
0.0616,0,-0.007402809,-0.007447666
0.0617,0,-0.007420945,-0.007464214
0.0618,0,-0.007438656,-0.00748129
0.0619,0,-0.007455952,-0.007498872
0.062,0,-0.007472933,-0.007516838
0.0621,0,-0.007489753,-0.007534999
0.0622,0,-0.007506593,-0.00755314
0.0623,0,-0.007523611,-0.007571069
0.0624,0,-0.007540914,-0.007588652
0.0625,0,-0.007558537,-0.007605838
0.0626,0,-0.007576435,-0.007622667
0.0627,0,-0.007594498,-0.007639255
0.0628,0,-0.007612574,-0.007655762
0.0629,0,-0.00763051,-0.007672351
0.063,0,-0.007648187,-0.007689148
0.0631,0,-0.007665544,-0.007706208
0.0632,0,-0.007682591,-0.007723507
0.0633,0,-0.007699404,-0.007740949
0.0634,0,-0.0077161,-0.007758387
0.0635,0,-0.007732814,-0.007775652
0.0636,0,-0.007749669,-0.007792591
0.0637,0,-0.007766744,-0.007809103
0.0638,0,-0.007784052,-0.007825158
0.0639,0,-0.007801536,-0.007840809
0.064,0,-0.00781908,-0.007856174
0.0641,0,-0.007836544,-0.0078714
0.0642,0,-0.007853798,-0.007886623
0.0643,0,-0.007870753,-0.00790193
0.0644,0,-0.007887379,-0.007917342
0.0645,0,-0.007903707,-0.007932811
0.0646,0,-0.007919815,-0.007948236
0.0647,0,-0.007935805,-0.007963485
0.0648,0,-0.007951787,-0.00797842
0.0649,0,-0.007967848,-0.007992927
0.065,0,-0.007984032,-0.008006942
0.0651,0,-0.008000323,-0.008020472
0.0652,0,-0.008016642,-0.008033591
0.0653,0,-0.008032871,-0.008046421
0.0654,0,-0.008048878,-0.008059098
0.0655,0,-0.008064548,-0.008071741
0.0656,0,-0.008079808,-0.00808442
0.0657,0,-0.008094643,-0.008097138
0.0658,0,-0.008109095,-0.008109832
0.0659,0,-0.008123247,-0.008122396
0.066,0,-0.008137202,-0.008134699
0.0661,0,-0.00815106,-0.008146613
0.0662,0,-0.008164893,-0.008158041
